"","X","Order_CultCham","A","callus","root","B","callus.1","root.1","C","callus.2","root.2","D","callus.3","root.3","E","callus.4","root.4","F","callus.5","root.5","G","callus.6","root.6","H","callus.7","root.7","I","callus.8","root.8"
"1","2_IBA_05_1",5,"G1_b8_1",1,4,"G2_b4_1",1,10,"G1_b21_1",1,1,"G2_b21_1",1,2,"G2_b21_2",1,0,"G2_b7_1",1,2,"G1_b4_1",1,0,"G1_b29_1",1,0,"G2_b6_1",1,0
"2","2_IBA_05_2",8,"G1_b8_1",1,4,"G2_b4_1",1,5,"G1_b21_1",1,3,"G2_b21_1",1,4,"G2_b21_2",1,0,"G2_b7_1",1,2,"G1_b4_1",1,0,"G1_b29_1",1,3,"G2_b6_1",1,0
"3","2_IBA_05_3",10,"G1_b8_1",1,3,"G2_b4_1",0,0,"G1_b21_1",1,1,"G2_b21_1",1,6,"G2_b21_2",0,0,"G2_b7_1",1,1,"G1_b4_1",1,3,"G1_b29_1",1,1,"G2_b6_1",1,0
"4","2_IBA_1_1",7,"G1_b8_1",1,1,"G2_b4_1",1,0,"G1_b21_1",1,0,"G2_b21_1",1,0,"G2_b21_2",1,1,"G2_b7_1",1,2,"G1_b4_1",1,0,"G1_b29_1",1,1,"G2_b6_1",1,0
"5","2_IBA_1_2",6,"G1_b8_1",1,1,"G2_b4_1",1,2,"G1_b21_1",0,2,"G2_b21_1",1,3,"G2_b21_2",1,1,"G2_b7_1",1,1,"G1_b4_1",1,0,"G1_b29_1",1,5,"G2_b6_1",1,0
"6","2_IBA_1_3",4,"G1_b8_1",1,1,"G2_b4_1",1,1,"G1_b21_1",1,0,"G2_b21_1",1,0,"G2_b21_2",1,0,"G2_b7_1",1,0,"G1_b4_1",1,1,"G1_b29_1",1,1,"G2_b6_1",1,0
"7","2_NAA_05_1",9,"G1_b8_1",1,1,"G2_b4_1",1,3,"G1_b21_1",1,2,"G2_b21_1",1,1,"G2_b21_2",1,0,"G2_b7_1",1,1,"G1_b4_1",1,1,"G1_b29_1",1,1,"G2_b6_1",1,1
"8","2_NAA_05_2",12,"G1_b8_1",1,3,"G2_b4_1",1,3,"G1_b21_1",0,0,"G2_b21_1",1,1,"G2_b21_2",1,1,"G2_b7_1",1,3,"G1_b4_1",1,0,"G1_b29_1",1,1,"G2_b6_1",1,0
"9","2_NAA_05_3",14,"G1_b8_1",1,1,"G2_b4_1",1,1,"G1_b21_1",1,1,"G2_b21_1",1,4,"G2_b21_2",1,3,"G2_b7_1",1,1,"G1_b4_1",1,0,"G1_b29_1",1,0,"G2_b6_1",1,2
"10","2_NAA_1_1",15,"G1_b8_1",1,0,"G2_b4_1",1,5,"G1_b21_1",1,0,"G2_b21_1",1,4,"G2_b21_2",1,0,"G2_b7_1",1,0,"G1_b4_1",1,0,"G1_b29_1",1,0,"G2_b6_1",1,0
"11","2_NAA_1_2",3,"G1_b8_1",1,1,"G2_b4_1",1,0,"G1_b21_1",1,0,"G2_b21_1",1,3,"G2_b21_2",1,4,"G2_b7_1",1,2,"G1_b4_1",1,1,"G1_b29_1",1,2,"G2_b6_1",1,0
"12","2_NAA_1_3",2,"G1_b8_1",1,1,"G2_b4_1",1,9,"G1_b21_1",1,1,"G2_b21_1",1,1,"G2_b21_2",1,5,"G2_b7_1",1,3,"G1_b4_1",1,1,"G1_b29_1",1,0,"G2_b6_1",1,0
"13","2_Control_1",11,"G1_b8_1",0,0,"G2_b4_1",0,0,"G1_b21_1",0,0,"G2_b21_1",0,0,"G2_b21_2",1,0,"G2_b7_1",0,0,"G1_b4_1",0,0,"G1_b29_1",0,0,"G2_b6_1",0,0
"14","2_Control_2",1,"G1_b8_1",0,0,"G2_b4_1",0,0,"G1_b21_1",0,0,"G2_b21_1",0,0,"G2_b21_2",0,0,"G2_b7_1",0,0,"G1_b4_1",0,0,"G1_b29_1",0,0,"G2_b6_1",0,0
"15","2_Control_3",13,"G1_b8_1",0,0,"G2_b4_1",0,1,"G1_b21_1",0,0,"G2_b21_1",0,0,"G2_b21_2",0,0,"G2_b7_1",0,1,"G1_b4_1",0,0,"G1_b29_1",0,3,"G2_b6_1",0,0
