"","X","Order_CultCham","A","callus","root","B","callus.1","root.1","C","callus.2","root.2","D","callus.3","root.3","E","callus.4","root.4","F","callus.5","root.5","G","callus.6","root.6","H","callus.7","root.7","I","callus.8","root.8"
"1","3_IBA_05_1",12,"G1_b26_1",0,0,"G2_18_1",0,0,"G1_b5_1",1,0,"G1_b15_1",0,0,"G1_b3_1",1,2,"G1_b13_1",1,7,"G1_b12_1",0,0,"G1_b10_1",1,4,"G1_b7_1",0,0
"2","3_IBA_05_2",8,"G1_b26_1",1,1,"G2_18_1",1,0,"G1_b5_1",1,5,"G1_b15_1",1,0,"G1_b3_1",1,6,"G1_b13_1",1,5,"G1_b12_1",1,0,"G1_b10_1",0,3,"G1_b7_1",0,0
"3","3_IBA_05_3",15,"G1_b26_1",1,0,"G2_18_1",0,1,"G1_b5_1",1,0,"G1_b15_1",0,0,"G1_b3_1",1,2,"G1_b13_1",0,2,"G1_b12_1",0,0,"G1_b10_1",0,3,"G1_b7_1",0,0
"4","3_IBA_1_1",1,"G1_b26_1",1,0,"G2_18_1",1,0,"G1_b5_1",1,1,"G1_b15_1",0,0,"G1_b3_1",1,1,"G1_b13_1",1,9,"G1_b12_1",0,0,"G1_b10_1",1,1,"G1_b7_1",0,0
"5","3_IBA_1_2",4,"G1_b26_1",0,0,"G2_18_1",0,1,"G1_b5_1",1,0,"G1_b15_1",0,0,"G1_b3_1",1,6,"G1_b13_1",1,2,"G1_b12_1",0,0,"G1_b10_1",1,3,"G1_b7_1",0,0
"6","3_IBA_1_3",7,"G1_b26_1",1,1,"G2_18_1",1,3,"G1_b5_1",1,1,"G1_b15_1",0,0,"G1_b3_1",1,9,"G1_b13_1",1,4,"G1_b12_1",1,0,"G1_b10_1",1,9,"G1_b7_1",0,0
"7","3_NAA_05_1",3,"G1_b26_1",1,0,"G2_18_1",0,0,"G1_b5_1",1,1,"G1_b15_1",0,0,"G1_b3_1",1,9,"G1_b13_1",1,5,"G1_b12_1",0,0,"G1_b10_1",1,2,"G1_b7_1",0,0
"8","3_NAA_05_2",13,"G1_b26_1",1,0,"G2_18_1",1,1,"G1_b5_1",1,0,"G1_b15_1",0,0,"G1_b3_1",1,1,"G1_b13_1",1,1,"G1_b12_1",0,0,"G1_b10_1",1,2,"G1_b7_1",0,0
"9","3_NAA_05_3",6,"G1_b26_1",1,0,"G2_18_1",0,0,"G1_b5_1",1,0,"G1_b15_1",1,0,"G1_b3_1",1,1,"G1_b13_1",1,1,"G1_b12_1",0,0,"G1_b10_1",1,0,"G1_b7_1",0,0
"10","3_NAA_1_1",10,"G1_b26_1",1,0,"G2_18_1",1,0,"G1_b5_1",1,0,"G1_b15_1",1,1,"G1_b3_1",1,0,"G1_b13_1",1,3,"G1_b12_1",0,0,"G1_b10_1",1,1,"G1_b7_1",0,0
"11","3_NAA_1_2",11,"G1_b26_1",1,0,"G2_18_1",0,0,"G1_b5_1",1,0,"G1_b15_1",1,0,"G1_b3_1",0,0,"G1_b13_1",1,4,"G1_b12_1",1,0,"G1_b10_1",1,0,"G1_b7_1",0,0
"12","3_NAA_1_3",14,"G1_b26_1",1,0,"G2_18_1",0,1,"G1_b5_1",1,1,"G1_b15_1",0,0,"G1_b3_1",1,3,"G1_b13_1",1,0,"G1_b12_1",0,0,"G1_b10_1",0,0,"G1_b7_1",0,0
"13","3_Control_1",2,"G1_b26_1",0,0,"G2_18_1",0,0,"G1_b5_1",0,0,"G1_b15_1",0,0,"G1_b3_1",0,0,"G1_b13_1",1,0,"G1_b12_1",0,0,"G1_b10_1",1,0,"G1_b7_1",0,0
"14","3_Control_2",9,"G1_b26_1",0,0,"G2_18_1",0,0,"G1_b5_1",0,0,"G1_b15_1",0,0,"G1_b3_1",0,1,"G1_b13_1",0,3,"G1_b12_1",0,0,"G1_b10_1",0,0,"G1_b7_1",0,0
"15","3_Control_3",5,"G1_b26_1",0,0,"G2_18_1",0,0,"G1_b5_1",0,0,"G1_b15_1",0,0,"G1_b3_1",0,3,"G1_b13_1",0,0,"G1_b12_1",0,0,"G1_b10_1",0,0,"G1_b7_1",0,0
